nominal;data;curs;cdx
1;29.03.2023;76,5939;Доллар США
1;28.03.2023;76,5662;Доллар США
1;25.03.2023;76,4479;Доллар США
1;24.03.2023;76,3072;Доллар США
1;23.03.2023;76,9561;Доллар США
1;22.03.2023;76,8373;Доллар США
1;21.03.2023;77,2422;Доллар США
1;18.03.2023;76,6044;Доллар США
1;17.03.2023;76,4095;Доллар США
1;16.03.2023;75,7457;Доллар США
1;15.03.2023;75,1927;Доллар США
1;14.03.2023;75,4609;Доллар США
1;11.03.2023;75,9406;Доллар США
1;10.03.2023;75,9028;Доллар США
1;08.03.2023;75,4577;Доллар США
1;07.03.2023;75,4728;Доллар США
1;04.03.2023;75,4592;Доллар США
1;03.03.2023;75,4729;Доллар США
1;02.03.2023;75,2513;Доллар США
1;01.03.2023;74,8932;Доллар США
1;28.02.2023;75,4323;Доллар США
1;23.02.2023;74,7087;Доллар США
1;22.02.2023;74,8596;Доллар США
1;21.02.2023;74,0432;Доллар США
1;18.02.2023;74,7588;Доллар США
1;17.02.2023;74,7638;Доллар США
1;16.02.2023;74,2077;Доллар США
1;15.02.2023;73,8645;Доллар США
1;14.02.2023;73,6307;Доллар США
1;11.02.2023;72,7923;Доллар США
1;10.02.2023;72,8949;Доллар США
1;09.02.2023;71,5763;Доллар США
1;08.02.2023;70,8924;Доллар США
1;07.02.2023;70,5991;Доллар США
1;04.02.2023;70,3847;Доллар США
1;03.02.2023;70,0414;Доллар США
1;02.02.2023;70,1217;Доллар США
1;01.02.2023;70,5174;Доллар США
1;31.01.2023;69,5927;Доллар США
1;28.01.2023;69,3372;Доллар США
1;27.01.2023;69,1263;Доллар США
1;26.01.2023;68,9573;Доллар США
1;25.01.2023;68,7529;Доллар США
1;24.01.2023;68,6288;Доллар США
1;21.01.2023;68,6656;Доллар США
1;20.01.2023;68,8467;Доллар США
1;19.01.2023;68,8728;Доллар США
1;18.01.2023;68,6644;Доллар США
1;17.01.2023;68,2892;Доллар США
1;14.01.2023;67,5744;Доллар США
1;13.01.2023;67,7775;Доллар США
1;12.01.2023;69,0202;Доллар США
1;11.01.2023;69,6094;Доллар США
1;10.01.2023;70,3002;Доллар США
1;31.12.2022;70,3375;Доллар США
1;30.12.2022;71,9778;Доллар США
1;29.12.2022;71,3261;Доллар США
1;28.12.2022;69,9346;Доллар США
1;27.12.2022;68,4487;Доллар США
1;24.12.2022;68,6760;Доллар США
1;23.12.2022;72,1306;Доллар США
1;22.12.2022;70,5256;Доллар США
1;21.12.2022;69,0037;Доллар США
1;20.12.2022;66,3474;Доллар США
1;17.12.2022;64,6078;Доллар США
1;16.12.2022;64,3015;Доллар США
1;15.12.2022;63,3590;Доллар США
1;14.12.2022;63,2120;Доллар США
1;13.12.2022;62,7674;Доллар США
1;10.12.2022;62,3813;Доллар США
1;09.12.2022;62,5722;Доллар США
1;08.12.2022;62,9372;Доллар США
1;07.12.2022;62,9103;Доллар США
1;06.12.2022;62,1849;Доллар США
1;03.12.2022;61,7749;Доллар США
1;02.12.2022;61,1479;Доллар США
1;01.12.2022;60,8803;Доллар США
1;30.11.2022;61,0742;Доллар США
1;29.11.2022;60,7520;Доллар США
1;26.11.2022;60,4797;Доллар США
1;25.11.2022;60,3866;Доллар США
1;24.11.2022;60,5043;Доллар США
1;23.11.2022;60,6566;Доллар США
1;22.11.2022;60,7379;Доллар США
1;19.11.2022;60,3741;Доллар США
1;18.11.2022;60,3894;Доллар США
1;17.11.2022;60,3484;Доллар США
1;16.11.2022;60,3116;Доллар США
1;15.11.2022;60,3982;Доллар США
1;12.11.2022;60,2179;Доллар США
1;11.11.2022;61,2434;Доллар США
1;10.11.2022;61,0611;Доллар США
1;09.11.2022;60,9774;Доллар США
